customer_id,first_name,last_name,phone,email,address,city,state,zipcode,system_type,system_brand,system_model,install_date,system_notes,last_service_date,membership_expire_date
1,Todd,Melton,(361) 337-9099,nicole33@example.org,29177 Gregory Courts,Washougal,WA,43417,Mini Split,Lennox,Z96426,2023-08-19,Environment account reveal reality.,2023-12-13,2025-03-13
2,Elizabeth,Smith,(247) 824-7736,xramsey@example.com,47782 Warren Divide,Woodland,WA,18617,AC,Trane,Q24999,2023-10-05,Of walk time bar generation feeling make.,2025-06-04,2025-08-11
3,Amy,Ellis,(891) 650-3661,ukelly@example.org,56437 Smith Lodge,Camas,WA,22028,AC,Carrier,Q97019,2024-08-20,Raise especially any trade remain rule.,2024-09-29,2025-12-07
4,Caleb,Harris,(249) 784-9918,masseylindsay@example.org,40680 Anne Rapids,Washougal,WA,06492,AC,Trane,Q42298,2023-10-13,Once old ahead bit hour enough.,2024-11-29,2025-01-05
5,Paula,Braun,(590) 718-7714,catherinecoleman@example.org,40789 Scott Meadows,Longview,WA,03791,Not Sure,Rheem,Q64713,2025-06-28,Couple country itself break customer color.,2025-07-02,2025-10-12
6,Peter,Castro,(328) 285-8705,johnrivera@example.com,44206 Thomas Ville,Ridgefield,WA,11316,Mini Split,Trane,X21864,2020-10-10,Rock deal friend reason.,2022-06-25,2026-01-07
7,Willie,Burgess,(459) 877-6523,anthony03@example.com,5850 Tony Isle,Ridgefield,WA,64867,AC,Carrier,Q99199,2021-04-26,Picture ahead natural fire across dog though.,2024-10-07,2026-02-17
8,Michelle,Smith,(490) 246-6175,ericawhite@example.net,94845 Gutierrez Rest,Longview,WA,75976,AC,Lennox,X97401,2022-08-15,Mother tough easy today four red deep available.,2024-10-07,2026-12-25
9,Frederick,Walsh,(625) 585-1269,pbush@example.net,42474 Peter Route,Washougal,WA,89950,AC,Trane,Q39048,2024-07-21,Still cover hand personal as general.,2024-09-19,2025-01-12
10,Dawn,Carter,(404) 730-4093,qhudson@example.com,92421 James Mill,Woodland,WA,69044,Mini Split,Lennox,X21576,2022-04-27,Realize interest street hotel.,2024-01-28,2025-11-16
11,Peter,Sloan,(240) 287-8706,paulali@example.net,10371 Diana Squares,Longview,WA,04475,AC,Lennox,Q75158,2022-01-01,Decision level generation central live.,2024-01-20,2027-01-03
12,Michael,Krueger,(993) 611-2794,petermckinney@example.org,5485 Hicks Drives,Vancouver,WA,77613,Mini Split,Lennox,Z14803,2024-09-20,Discuss in small special result.,2025-01-18,2025-06-10
13,Annette,Hernandez,(898) 627-4895,julielewis@example.org,38634 Dustin Landing,Kelso,WA,45790,Mini Split,Rheem,X64105,2023-02-03,Use agreement respond smile analysis.,2025-05-03,2025-01-20
14,Ann,Gates,(705) 547-7522,hbruce@example.net,8717 Douglas Parkways,Vancouver,WA,64310,Heat Pump,Lennox,Z81267,2024-06-23,Cultural by member at spend.,2024-12-23,2026-03-13
15,Jeffrey,Buchanan,(495) 465-9400,brownjohn@example.com,80090 Jesus Turnpike,Battle Ground,WA,95443,Furnace,Lennox,Z11969,2021-12-31,Carry start number have where region everything.,2023-08-03,2026-02-24
16,April,Francis,(815) 350-9526,carsonkyle@example.org,78119 Schroeder Manors,Longview,WA,77506,Not Sure,Trane,Q78153,2022-04-19,Fight later strategy.,2024-10-24,2025-01-30
17,Kristen,Santos,(962) 589-2562,alexis21@example.net,56461 Tucker Lodge,Camas,WA,27163,Not Sure,Carrier,Q51911,2023-07-08,Compare now shoulder successful especially begin.,2024-11-28,2027-01-06
18,Diana,Romero,(930) 957-8071,shanenichols@example.com,21630 Scott Tunnel,Ridgefield,WA,85479,AC,Carrier,Z25095,2023-03-30,Manager quite call.,2024-01-01,2025-11-23
19,Johnathan,Mercado,(749) 238-5958,hreyes@example.org,31145 Paul Junction,Vancouver,WA,74766,Not Sure,Rheem,X36456,2022-02-19,Local seek floor step.,2025-06-28,2027-06-20
20,Jose,Bryant,(980) 447-6882,michelle73@example.net,32685 Boone Mountain,Camas,WA,89172,Heat Pump,Carrier,Z41644,2024-09-12,Thank sometimes letter read area wall realize.,2025-04-14,2025-08-25
21,Richard,Hall,(232) 967-6494,ihart@example.net,46509 Townsend Junctions,Woodland,WA,78450,Mini Split,Trane,Q29094,2023-09-15,Pressure turn seem almost fall coach foot.,2024-07-21,2027-02-11
22,Nicole,Wang,(813) 805-7257,egriffin@example.com,73363 Ariel Valley,Kelso,WA,41944,Mini Split,Rheem,Q34136,2022-06-21,Cold ready hold after feeling professional.,2022-10-11,2026-08-14
23,Ronald,Graham,(447) 707-5040,garcianicholas@example.org,91819 Amber Mount,Kelso,WA,01572,Heat Pump,Trane,Q18716,2023-10-18,Important forward increase fight.,2024-01-01,2026-05-19
24,Dana,Gardner,(954) 368-9219,jorgesmith@example.com,12354 Hudson Islands,Ridgefield,WA,74867,AC,Lennox,X39263,2023-11-26,Although available this fund sort bit group movement.,2025-03-24,2026-07-30
25,Kathryn,Weaver,(249) 526-9765,lopezaaron@example.org,35117 Gonzalez Underpass,Woodland,WA,01461,Mini Split,Trane,Z37275,2024-01-29,Explain agreement list again.,2024-05-06,2026-11-14
26,Sara,Mathis,(809) 320-4636,pennyhahn@example.net,67523 Patel Brooks,Battle Ground,WA,04396,Mini Split,Lennox,X25136,2024-11-27,Room talk school six wife cut partner.,2025-05-07,2026-11-30
27,Judy,Tucker,(234) 629-4490,beverly15@example.org,53833 Juan Bridge,Washougal,WA,91032,AC,Carrier,X23348,2023-09-15,Lose even church table parent week.,2024-01-19,2026-03-10
28,Dawn,Brown,(653) 212-5507,jamesreid@example.com,63107 Jason Mills,Kelso,WA,41488,Not Sure,Rheem,Q28301,2023-12-19,Other financial north mean success say sing.,2024-10-26,2027-01-14
29,Pamela,Castillo,(565) 377-2372,vtorres@example.net,35864 Patel Mountains,Ridgefield,WA,25476,Mini Split,Carrier,X35409,2021-09-08,Occur class goal foot.,2024-08-17,2027-07-09
30,Dustin,Neal,(746) 530-9183,xjohnson@example.com,20023 Kevin Plaza,Camas,WA,70838,Furnace,Trane,Z64743,2020-07-25,Edge want power think point.,2022-06-08,2026-03-28
31,Karen,Griffin,(711) 213-3296,christiewilliams@example.com,65780 Brady Forges,Longview,WA,33179,AC,Trane,Q97136,2023-07-03,Artist black school get from although.,2023-12-01,2026-05-28
32,Laura,Harmon,(888) 847-3397,woodmichael@example.com,57169 Ryan Estate,Longview,WA,50932,Mini Split,Trane,Z61806,2022-06-03,Want radio miss knowledge relationship his phone.,2024-05-17,2026-01-16
33,Brandon,Cole,(437) 955-1329,dfisher@example.org,95281 Anthony Mountain,Woodland,WA,40161,Mini Split,Carrier,Z71367,2023-08-30,Approach factor think mother man main animal pretty.,2025-03-01,2025-07-01
34,Erik,Stanley,(342) 696-5433,tylermurphy@example.org,75279 Gary Mountain,Woodland,WA,79459,Heat Pump,Trane,X18952,2024-12-22,Film dog site population season agency cause.,2025-05-07,2025-12-20
35,Ian,Taylor,(659) 547-1180,reneehaynes@example.com,22238 Christopher Road,Ridgefield,WA,36198,Heat Pump,Trane,Z10386,2024-11-21,Situation marriage concern tough become.,2025-06-03,2027-04-12
36,Samuel,Clark,(822) 565-8094,claytonanna@example.org,32226 Padilla Mall,Longview,WA,29370,Mini Split,Rheem,X83607,2025-03-20,Account eight remember enjoy another new remain investment.,2025-04-18,2027-05-02
37,Lisa,Drake,(278) 444-8926,egonzalez@example.net,65603 Rebecca Walk,Woodland,WA,05897,Mini Split,Rheem,Z11490,2024-11-13,Bit kind way.,2025-06-30,2026-02-05
38,Leslie,Baldwin,(801) 510-5846,eileen97@example.com,46278 Theodore Drives,Kelso,WA,72980,AC,Rheem,X16596,2021-10-26,Mouth matter determine dog Democrat behind than.,2023-11-22,2025-05-26
39,Andrew,Carney,(268) 806-2986,brandon32@example.com,51986 Chandler Court,Kelso,WA,63339,Furnace,Lennox,Z99060,2025-06-30,Enough everyone if.,2025-07-02,2027-05-26
40,Lacey,Jackson,(227) 366-5639,darrellfisher@example.org,16350 Jennings Track,Washougal,WA,16195,Heat Pump,Carrier,X21578,2022-12-27,Community consumer fill arrive visit.,2024-09-17,2027-01-15
41,Sharon,Gonzalez,(829) 994-5209,richard88@example.org,40889 Adams Canyon,Vancouver,WA,26418,Mini Split,Rheem,Z91302,2020-09-10,Range also language father power.,2023-03-21,2025-08-09
42,Jeremy,Thomas,(686) 663-3348,lbrown@example.net,91247 Sydney Mills,Battle Ground,WA,85749,Mini Split,Carrier,Q21911,2025-02-15,Stop economy design science stuff discover during account.,2025-03-15,2026-10-02
43,Julian,Cruz,(279) 563-4125,karen66@example.org,35492 Maldonado Shores,Longview,WA,64514,Heat Pump,Trane,X30742,2023-12-01,Stay second character occur network.,2025-02-11,2025-06-07
44,Justin,Ortiz,(915) 320-5257,carolynstout@example.net,98185 Lisa Throughway,Battle Ground,WA,69809,AC,Lennox,Z53826,2023-07-03,Country participant foreign clear hot.,2025-07-06,2025-05-10
45,Leslie,Bowers,(759) 688-8470,rhondacox@example.org,14044 Charles Valley,Kelso,WA,68034,Heat Pump,Carrier,X53773,2022-02-01,Gas tax visit population include born.,2023-03-23,2025-05-20
46,Michelle,Young,(528) 562-9992,hillbrian@example.net,54970 Richard Ville,Woodland,WA,42554,Not Sure,Rheem,X22904,2021-10-12,Few happen show wall relate go particularly.,2021-10-12,2025-05-03
47,Ryan,Moreno,(383) 962-4318,humphreyrichard@example.org,74415 Kim Inlet,Vancouver,WA,87413,Furnace,Lennox,Z11444,2024-04-17,Save pull hour.,2024-11-06,2025-01-17
48,Kayla,Houston,(758) 867-3285,jonathangreer@example.net,23674 Johnston Garden,Battle Ground,WA,02042,Mini Split,Carrier,Q50026,2024-10-07,Effect maintain tough body talk measure keep.,2025-05-28,2026-01-13
49,Brittany,Rojas,(969) 227-5378,andrea52@example.net,81729 Rose Road,Longview,WA,53981,AC,Trane,X92016,2022-05-28,Against material rich.,2023-04-29,2026-09-29
50,James,Jackson,(884) 225-5167,youngjorge@example.net,73258 Kathryn Fall,Camas,WA,47391,Furnace,Carrier,X27735,2024-08-25,Civil have word star success describe agent on.,2025-05-01,2025-01-12
51,Edward,Cook,(825) 318-8995,kthompson@example.org,92903 Lisa Skyway,Washougal,WA,42448,AC,Trane,X60036,2020-08-19,Me member remember against life able Mr military.,2024-12-16,2025-10-13
52,Victoria,Burton,(564) 563-4443,seth77@example.org,26411 Wood Orchard,Woodland,WA,99697,Not Sure,Trane,X80917,2025-03-07,Whole threat should amount gun despite.,2025-06-29,2027-06-24
53,Seth,Jackson,(779) 379-1862,gonzalezkimberly@example.com,55560 Riggs Bypass,Vancouver,WA,58042,Furnace,Trane,Z94573,2021-12-30,Certainly usually sometimes culture thousand soon standard result.,2024-01-17,2025-03-16
54,Christopher,Johnson,(671) 858-5488,creed@example.org,44970 Catherine Crossroad,Woodland,WA,80940,Furnace,Carrier,X57044,2022-06-24,Set they week as.,2023-01-27,2025-08-15
55,Rhonda,Hernandez,(363) 775-7244,lisa62@example.com,98562 Terri Estate,Vancouver,WA,73666,Not Sure,Trane,Z85562,2020-08-02,Military rest mind fish.,2021-08-27,2026-05-09
56,Jessica,Lee,(854) 923-5271,robinsondaniel@example.org,87041 Dylan Point,Camas,WA,57465,Mini Split,Rheem,Q62554,2022-06-30,Attorney door pull stuff.,2023-06-24,2025-01-11
57,Alyssa,Jones,(812) 805-1688,rusherin@example.org,82149 Jasmine Flat,Kelso,WA,10885,Mini Split,Trane,Z79678,2023-10-08,Point trial respond put break subject agent middle.,2025-01-15,2026-08-03
58,Matthew,Alvarez,(411) 804-1342,castillojennifer@example.net,30178 Williams Lodge,Longview,WA,64060,Furnace,Lennox,Q42222,2022-07-31,Reach interview power.,2024-06-04,2026-04-24
59,Theresa,Kramer,(747) 929-3827,robinsonronald@example.com,67955 Blake Center,Washougal,WA,00750,Heat Pump,Rheem,Q65295,2024-07-11,Rate anything arm campaign only.,2024-08-10,2025-08-01
60,Dale,Lewis,(377) 787-8951,mcneilrodney@example.net,47512 Daniel Coves,Washougal,WA,12895,AC,Lennox,Q34370,2023-06-12,Wind person certain born end however throw.,2024-01-03,2025-09-20
61,Madison,Carey,(784) 645-2847,jonathanmoore@example.com,27172 Lance Camp,Washougal,WA,20975,AC,Lennox,Q82025,2025-01-22,Environment upon home base process entire suffer.,2025-02-28,2025-04-07
62,Deborah,Martinez,(724) 752-6518,macdonaldjoseph@example.net,6907 Catherine Mount,Woodland,WA,31077,Heat Pump,Carrier,Q55837,2021-03-13,Want enjoy where.,2024-05-02,2026-10-13
63,Stephen,Brown,(880) 412-6972,perezjeffrey@example.org,88431 Diana Lakes,Ridgefield,WA,11113,Heat Pump,Rheem,X14482,2023-08-21,Throughout fill everyone experience religious.,2023-11-16,2026-09-14
64,Jennifer,Clark,(290) 228-3645,margaretdiaz@example.com,46335 Lisa Rapid,Washougal,WA,07750,AC,Rheem,X50507,2021-09-28,Leg pay make provide some strong.,2022-06-30,2025-02-12
65,Cheryl,Bird,(356) 982-4121,xgentry@example.net,88750 Ashley Corners,Vancouver,WA,04617,Mini Split,Carrier,X46798,2022-11-08,Yourself similar production money parent.,2023-03-22,2025-11-11
